# freq, re(lna), im(lna), re(amb), im(amb), re(hot), im(hot), re(open), im(open), re(short), im(short), re(sr_s11), im(sr_s11_, re(sr_s12), im(sr_s12), re(sr_s22_, im(sr_s22)
42.492676 -4.356378e-03 2.344528e-02 -9.989102e-02 -9.826033e-02 -4.484988e-02 -1.855713e-02 -8.517729e-01 6.202268e-01 4.853620e-01 -5.772137e-01 4.759728e-01 -6.523529e-02 5.872471e-01 -3.232352e-01 -2.670835e-01 5.319394e-01
42.541504 -4.348341e-03 2.345376e-02 -9.741556e-02 -9.592348e-02 -4.343389e-02 -1.828647e-02 -8.385112e-01 6.334796e-01 4.813241e-01 -5.856522e-01 4.648156e-01 -6.306442e-02 5.958465e-01 -3.209357e-01 -2.621241e-01 5.193793e-01
42.590332 -4.339982e-03 2.346195e-02 -9.496624e-02 -9.361565e-02 -4.203718e-02 -1.801542e-02 -8.250888e-01 6.464855e-01 4.770768e-01 -5.941270e-01 4.537926e-01 -6.093478e-02 6.043559e-01 -3.186679e-01 -2.571808e-01 5.069716e-01
42.639160 -4.331303e-03 2.346985e-02 -9.254363e-02 -9.133729e-02 -4.065999e-02 -1.774410e-02 -8.115096e-01 6.592444e-01 4.726158e-01 -6.026326e-01 4.429061e-01 -5.884651e-02 6.127732e-01 -3.164321e-01 -2.522557e-01 4.947189e-01
42.687988 -4.322304e-03 2.347746e-02 -9.014829e-02 -8.908885e-02 -3.930253e-02 -1.747266e-02 -7.977771e-01 6.717562e-01 4.679369e-01 -6.111632e-01 4.321580e-01 -5.679972e-02 6.210963e-01 -3.142287e-01 -2.473510e-01 4.826234e-01
42.736816 -4.312988e-03 2.348478e-02 -8.778077e-02 -8.687072e-02 -3.796502e-02 -1.720122e-02 -7.838947e-01 6.840206e-01 4.630359e-01 -6.197131e-01 4.215506e-01 -5.479449e-02 6.293233e-01 -3.120578e-01 -2.424687e-01 4.706876e-01
42.785645 -4.303355e-03 2.349181e-02 -8.544153e-02 -8.468324e-02 -3.664763e-02 -1.692990e-02 -7.698656e-01 6.960378e-01 4.579090e-01 -6.282760e-01 4.110853e-01 -5.283081e-02 6.374527e-01 -3.099197e-01 -2.376109e-01 4.589132e-01
42.834473 -4.293409e-03 2.349855e-02 -8.313113e-02 -8.252685e-02 -3.535057e-02 -1.665886e-02 -7.556935e-01 7.078072e-01 4.525528e-01 -6.368455e-01 4.007645e-01 -5.090879e-02 6.454822e-01 -3.078148e-01 -2.327797e-01 4.473027e-01
42.883301 -4.283149e-03 2.350501e-02 -8.084999e-02 -8.040183e-02 -3.407398e-02 -1.638820e-02 -7.413813e-01 7.193286e-01 4.469639e-01 -6.454152e-01 3.905894e-01 -4.902835e-02 6.534105e-01 -3.057432e-01 -2.279770e-01 4.358576e-01
42.932129 -4.272578e-03 2.351117e-02 -7.859853e-02 -7.830848e-02 -3.281800e-02 -1.611805e-02 -7.269323e-01 7.306019e-01 4.411393e-01 -6.539784e-01 3.805617e-01 -4.718944e-02 6.612361e-01 -3.037052e-01 -2.232046e-01 4.245796e-01
42.980957 -4.261697e-03 2.351705e-02 -7.637716e-02 -7.624707e-02 -3.158273e-02 -1.584853e-02 -7.123494e-01 7.416269e-01 4.350761e-01 -6.625282e-01 3.706827e-01 -4.539199e-02 6.689574e-01 -3.017009e-01 -2.184645e-01 4.134702e-01
43.029785 -4.250509e-03 2.352263e-02 -7.418624e-02 -7.421783e-02 -3.036830e-02 -1.557976e-02 -6.976356e-01 7.524031e-01 4.287717e-01 -6.710578e-01 3.609536e-01 -4.363589e-02 6.765732e-01 -2.997305e-01 -2.137584e-01 4.025309e-01
